"name","code","asset_code","folder","available","missing","errors","bytes"
"Architect Laika","c2099","c2099","Architect Laika","4","0","0","269326"
"Argent Waves Hwayoung","c5128","c5128","Argent Waves Hwayoung","4","0","0","372088"
"Aria","c1129","c1129","Aria","4","0","0","473460"
"Armin","c1008","c1008","Armin","4","0","0","281148"
"Arowell","c3004","c3004","Arowell","4","0","0","180308"
"Arunka","c1124","c1124","Arunka","4","0","0","298346"
"Assassin Cartuja","c2013","c2013","Assassin Cartuja","4","0","0","294468"
"Assassin Cidd","c2014","c2014","Assassin Cidd","4","0","0","189008"
"Assassin Coli","c2033","c2033","Assassin Coli","4","0","0","210778"
"Astromancer Elena","c2091","c2091","Astromancer Elena","4","0","0","302056"
"Aubade Ludwig","c5069","c5069","Aubade Ludwig","4","0","0","225014"
"Aube","c5190","c5190","Aube","4","0","0","357216"
"Auxiliary Lots","c2031","c2031","Auxiliary Lots","4","0","0","308272"
"Azalea","c3031","c3031","Azalea","4","0","0","187838"
"Baal & Sezan","c1015","c1015","Baal & Sezan","4","0","0","295838"
"Bad Cat Armin","c6008","c6008","Bad Cat Armin","4","0","0","263184"
"Baiken","c1093","c1093","Baiken","4","0","0","332446"
"Basar","c1053","c1053","Basar","4","0","0","308756"
"Bask","c3006","c3006","Bask","4","0","0","174452"
"Batisse","c3095","c3095","Batisse","4","0","0","206074"
"Beehoo","c1141","c1141","Beehoo","4","0","0","356032"
"Belian","c1117","c1117","Belian","4","0","0","383288"
"Bellona","c1071","c1071","Bellona","4","0","0","263928"
"Benevolent Romann","c2043","c2043","Benevolent Romann","4","0","0","231338"
"Benimaru","c1146","c1146","Benimaru","4","0","0","483236"
"Bernard","c3162","c3162","Bernard","4","0","0","195662"
"Birgitta","c1160","c1160","Birgitta","4","0","0","187932"
"Blaze Dingo","c2021","c2021","Blaze Dingo","4","0","0","240854"
"Blood Blade Karin","c2011","c2011","Blood Blade Karin","4","0","0","308096"
"Blood Moon Haste","c2039","c2039","Blood Moon Haste","4","0","0","304712"
"Blooming Lidica","c5046","c5046","Blooming Lidica","4","0","0","373468"
"Bomb Model Kanna","c1097","c1097","Bomb Model Kanna","4","0","0","322862"
"Boss Arunka","c2124","c2124","Boss Arunka","4","0","0","412738"
"Briar Witch Iseria","c2024","c2024","Briar Witch Iseria","4","0","0","486926"
"Brieg","c1145","c1145","Brieg","4","0","0","208070"
"Butcher Corps Inquisitor","c3001","c3001","Butcher Corps Inquisitor","4","0","0","232106"
"Byblis","c1154","c1154","Byblis","4","0","0","308324"
"Bystander Hwayoung","c2128","c2128","Bystander Hwayoung","4","0","0","194322"
"Camilla","c3124","c3124","Camilla","4","0","0","283042"
"Captain Rikoris","c4034","c4034","Captain Rikoris","4","0","0","247232"
"Carmainerose","c3071","c3071","Carmainerose","4","0","0","191024"
"Carrot","c3051","c3051","Carrot","4","0","0","214746"
"Cartuja","c1013","c1013","Cartuja","4","0","0","268676"
"Cecilia","c1002","c1002","Cecilia","4","0","0","246232"
"Celeste","c3064","c3064","Celeste","4","0","0","140842"
"Celestial Mercedes","c2005","c2005","Celestial Mercedes","4","0","0","338112"
"Celine","c1103","c1103","Celine","4","0","0","213764"
"Cerise","c1081","c1081","Cerise","4","0","0","246076"
"Cermia","c1079","c1079","Cermia","4","0","0","277644"
"Challenger Dominiel","c2037","c2037","Challenger Dominiel","4","0","0","210848"
"Champion Zerato","c2010","c2010","Champion Zerato","4","0","0","249890"
"Chaos Inquisitor","c4001","c4001","Chaos Inquisitor","4","0","0","416424"
"Chaos Sect Axe","c4025","c4025","Chaos Sect Axe","4","0","0","231020"
"Charles","c1027","c1027","Charles","4","0","0","269090"
"Charlotte","c1009","c1009","Charlotte","4","0","0","232982"
"Chloe","c1049","c1049","Chloe","4","0","0","289384"
"Choux","c1101","c1101","Choux","4","0","0","228554"
"Christy","c3123","c3123","Christy","4","0","0","163188"
"Church of Ilryos Axe","c3025","c3025","Church of Ilryos Axe","4","0","0","172188"
"Cidd","c1014","c1014","Cidd","4","0","0","179168"
"Clarissa","c1028","c1028","Clarissa","4","0","0","293688"
"Claudia","c3156","c3156","Claudia","4","0","0","147656"
"Closer Charles","c2027","c2027","Closer Charles","4","0","0","276172"
"Coli","c1033","c1033","Coli","4","0","0","198490"
"Command Model Laika","c1099","c1099","Command Model Laika","4","0","0","238476"
"Commander Lorina","c4035","c4035","Commander Lorina","4","0","0","369890"
"Commander Pavel","c2080","c2080","Commander Pavel","4","0","0","204240"
"Conqueror Lilias","c2089","c2089","Conqueror Lilias","4","0","0","240976"
"Corvus","c1012","c1012","Corvus","4","0","0","322816"
"Crescent Moon Rin","c2054","c2054","Crescent Moon Rin","4","0","0","307656"
"Crimson Armin","c2008","c2008","Crimson Armin","4","0","0","268316"
"Crozet","c1036","c1036","Crozet","4","0","0","210828"
"Dark Corvus","c2012","c2012","Dark Corvus","4","0","0","212736"
"Death Dealer Ray","c2090","c2090","Death Dealer Ray","4","0","0","347104"
"Desert Jewel Basar","c2053","c2053","Desert Jewel Basar","0","4","0",""
"Designer Lilibet","c2095","c2095","Designer Lilibet","4","0","0","328794"
"Destina","c2022","c2022","Destina","4","0","0","438790"
"Diene","c1076","c1076","Diene","4","0","0","200874"
"Dingo","c1021","c1021","Dingo","4","0","0","244022"
"Disciplinary Prefect Aria","c2129","c2129","Disciplinary Prefect Aria","4","0","0","204228"
"Dizzy","c1094","c1094","Dizzy","4","0","0","471382"
"Doll Maker Pearlhorizon","c4073","c4073","Doll Maker Pearlhorizon","4","0","0","227316"
"Dominiel","c1037","c1037","Dominiel","4","0","0","259582"
"Doris","c3044","c3044","Doris","4","0","0","238300"
"Dragon Bride Senya","c2106","c2106","Dragon Bride Senya","4","0","0","487048"
"Dragon King Sharun","c2132","c2132","Dragon King Sharun","4","0","0","364532"
"Eaton","c3094","c3094","Eaton","4","0","0","224434"
"Eda","c1111","c1111","Eda","4","0","0","340860"
"Edward Elric","c1134","c1134","Edward Elric","4","0","0","173648"
"Elena","c1091","c1091","Elena","4","0","0","317902"
"Eligos","c1142","c1142","Eligos","4","0","0","149584"
"Elphelt","c1105","c1105","Elphelt","4","0","0","223488"
"Elson","c3054","c3054","Elson","4","0","0","141732"
"Elvira","c1148","c1148","Elvira","4","0","0","521958"
"Emilia","c1116","c1116","Emilia","4","0","0","352114"
"Empyrean Ilynav","c2113","c2113","Empyrean Ilynav","4","0","0","434914"
"Enott","c3022","c3022","Enott","4","0","0","198280"
"Ervalen","c1108","c1108","Ervalen","4","0","0","176056"
"Estelle","c1183","c1183","Estelle","4","0","0","249468"
"Eternal Wanderer Ludwig","c2069","c2069","Eternal Wanderer Ludwig","4","0","0","301436"
"Eye of the Abyss Fumyr","c5147","c5147","Eye of the Abyss Fumyr","4","0","0","292006"
"Ezra","c3157","c3157","Ezra","4","0","0","150954"
"Fairytale Tenebria","c5050","c5050","Fairytale Tenebria","4","0","0","494148"
"Faithless Lidica","c2046","c2046","Faithless Lidica","4","0","0","289574"
"Falconer Kluri","c4003","c4003","Falconer Kluri","4","0","0","270420"
"Fallen Cecilia","c2002","c2002","Fallen Cecilia","4","0","0","341544"
"Fenne","c1170","c1170","Fenne","4","0","0","411104"
"Fenris","c1158","c1158","Fenris","4","0","0","487714"
"Fern","c1173","c1173","Fern","4","0","0","371922"
"Festive Eda","c5111","c5111","Festive Eda","4","0","0","277280"
"Fighter Maya","c2032","c2032","Fighter Maya","4","0","0","207166"
"Flan","c1110","c1110","Flan","4","0","0","460020"
"Free Spirit Tieria","c3026","c3026","Free Spirit Tieria","4","0","0","348070"
"Frida","c1163","c1163","Frida","4","0","0","423880"
"Frieren","c1172","c1172","Frieren","4","0","0","464642"
"Fumyr","c1147","c1147","Fumyr","4","0","0","222824"
"Furious","c1087","c1087","Furious","4","0","0","238114"
"General Purrgis","c2035","c2035","General Purrgis","4","0","0","304786"
"Genesis Ras","c2001","c2001","Genesis Ras","4","0","0","399064"
"Glenn","c3103","c3103","Glenn","4","0","0","131240"
"Gloomyrain","c3074","c3074","Gloomyrain","4","0","0","170502"
"Godmother","c3101","c3101","Godmother","4","0","0","223706"
"Great Chief Khawana","c2086","c2086","Great Chief Khawana","4","0","0","354264"
"Guard Captain Krau","c5070","c5070","Guard Captain Krau","4","0","0","451792"
"Guider Aither","c2018","c2018","Guider Aither","4","0","0","173704"
"Gunther","c3024","c3024","Gunther","4","0","0","194340"
"Harsetti","c1153","c1153","Harsetti","4","0","0","261716"
"Hasol","c3135","c3135","Hasol","4","0","0","232096"
"Haste","c1039","c1039","Haste","4","0","0","286616"
"Hataan","c3091","c3091","Hataan","4","0","0","190480"
"Hazel","c3041","c3041","Hazel","4","0","0","204202"
"Hecate","c1178","c1178","Hecate","4","0","0","349326"
"Helen","c3122","c3122","Helen","4","0","0","205544"
"Helga","c3023","c3023","Helga","4","0","0","202212"
"Hellion Lua","c2126","c2126","Hellion Lua","4","0","0","278824"
"Holiday Yufine","c5016","c5016","Holiday Yufine","4","0","0","398534"
"Holy Flame Adin","c4141","c4141","Holy Flame Adin","4","0","0","280126"
"Hurado","c3055","c3055","Hurado","4","0","0","247610"
"Hwayoung","c1128","c1128","Hwayoung","4","0","0","384094"
"Ian","c3102","c3102","Ian","4","0","0","180678"
"Ilynav","c1113","c1113","Ilynav","4","0","0","306002"
"Immortal Wukong","c1161","c1161","Immortal Wukong","4","0","0","412962"
"Inferno Khawazu","c2085","c2085","Inferno Khawazu","4","0","0","315268"
"Infinite Horizon Achates","c6017","c6017","Infinite Horizon Achates","4","0","0","349310"
"Inheritor Amiki","c4158","c4158","Inheritor Amiki","4","0","0","187470"
"Iseria","c1024","c1024","Iseria","4","0","0","286558"
"Ivana","c1182","c1182","Ivana","4","0","0","340916"
"Jack-O","c1130","c1130","Jack-O","4","0","0","259670"
"Januta","c3131","c3131","Januta","4","0","0","281072"
"Jecht","c3053","c3053","Jecht","4","0","0","263172"
"Jena","c3052","c3052","Jena","4","0","0","186616"
"Jenua","c1055","c1055","Jenua","4","0","0","368260"
"Judge Kise","c2006","c2006","Judge Kise","4","0","0","367570"
"Judith","c3011","c3011","Judith","4","0","0","151266"
"Juni","c3151","c3151","Juni","4","0","0","190122"
"Kane","c1152","c1152","Kane","4","0","0","382116"
"Karin","c1011","c1011","Karin","4","0","0","258470"
"Kawerik","c1073","c1073","Kawerik","4","0","0","187636"
"Kayron","c1023","c1023","Kayron","4","0","0","312672"
"Ken","c1047","c1047","Ken","4","0","0","283688"
"Khawana","c1086","c1086","Khawana","4","0","0","244522"
"Khawazu","c1085","c1085","Khawazu","4","0","0","322272"
"Kikirat v2","c3084","c3084","Kikirat v2","4","0","0","198948"
"Kiris","c3063","c3063","Kiris","4","0","0","191440"
"Kise","c1006","c1006","Kise","4","0","0","310030"
"Kitty Clarissa","c2028","c2028","Kitty Clarissa","4","0","0","349534"
"Kizuna AI","c1107","c1107","Kizuna AI","4","0","0","168778"
"Kluri","c3003","c3003","Kluri","4","0","0","216014"
"Krau","c1070","c1070","Krau","4","0","0","228456"
"Lady of the Scales","c6005","c6005","Lady of the Scales","4","0","0","434230"
"Laia","c1159","c1159","Laia","4","0","0","268626"
"Landy","c1109","c1109","Landy","4","0","0","312390"
"Last Piece Karin","c6011","c6011","Last Piece Karin","4","0","0","331460"
"Last Rider Krau","c2070","c2070","Last Rider Krau","4","0","0","252124"
"Leah","c3163","c3163","Leah","4","0","0","142750"
"Lena","c3092","c3092","Lena","4","0","0","151358"
"Leo","c1029","c1029","Leo","4","0","0","260014"
"Lethe","c5149","c5149","Lethe","4","0","0","346610"
"Lidica","c1046","c1046","Lidica","4","0","0","290142"
"Lilias","c1089","c1089","Lilias","4","0","0","421304"
"Lilibet","c1095","c1095","Lilibet","4","0","0","438196"
"Lilka","c3153","c3153","Lilka","4","0","0","135318"
"Lionheart Cermia","c2079","c2079","Lionheart Cermia","4","0","0","450004"
"Little Queen Charlotte","c2009","c2009","Little Queen Charlotte","4","0","0","249336"
"Lone Crescent Bellona","c2071","c2071","Lone Crescent Bellona","4","0","0","258306"
"Lone Wolf Peira","c2125","c2125","Lone Wolf Peira","4","0","0","378930"
"Lorina","c3035","c3035","Lorina","4","0","0","223444"
"Lots","c1031","c1031","Lots","4","0","0","259294"
"Lua","c1126","c1126","Lua","4","0","0","347756"
"Lucy","c3113","c3113","Lucy","4","0","0","192908"
"Ludwig","c1069","c1069","Ludwig","4","0","0","231278"
"Luluca","c1082","c1082","Luluca","4","0","0","338756"
"Luna","c1066","c1066","Luna","4","0","0","279574"
"Magic Scholar Doris","c4044","c4044","Magic Scholar Doris","4","0","0","329396"
"Maid Chloe","c2049","c2049","Maid Chloe","4","0","0","203300"
"Martial Artist Ken","c2047","c2047","Martial Artist Ken","4","0","0","336052"
"Mascot Hazel","c4041","c4041","Mascot Hazel","4","0","0","210172"
"Maya","c1032","c1032","Maya","4","0","0","214860"
"Mediator Kawerik","c2073","c2073","Mediator Kawerik","4","0","0","304118"
"Melany","c3121","c3121","Melany","4","0","0","174040"
"Melissa","c1096","c1096","Melissa","4","0","0","292382"
"Mercedes","c0002","c0002","Mercedes","4","0","0","290804"
"Mercenary Helga","c4023","c4023","Mercenary Helga","4","0","0","364554"
"Midnight Gala Lilias","c5089","c5089","Midnight Gala Lilias","4","0","0","318142"
"Mighty Scout","m0063","m0063","Mighty Scout","0","4","0",""
"Milim","c1122","c1122","Milim","4","0","0","299568"
"Mirsa","c3014","c3014","Mirsa","4","0","0","221798"
"Mistychain","c3072","c3072","Mistychain","4","0","0","195598"
"Monarch of the Sword Iseria","c6024","c6024","Monarch of the Sword Iseria","4","0","0","278456"
"Montmorancy","c3042","c3042","Montmorancy","4","0","0","131658"
"Moon Bunny Dominiel","c6037","c6037","Moon Bunny Dominiel","4","0","0","265118"
"Mort","c1104","c1104","Mort","4","0","0","503664"
"Mucacha","c3033","c3033","Mucacha","4","0","0","218206"
"Mui","c1044","c1044","Mui","4","0","0","183706"
"Muse Rima","c4062","c4062","Muse Rima","4","0","0","270676"
"Muwi","c3132","c3132","Muwi","4","0","0","218744"
"Nahkwol","c1151","c1151","Nahkwol","4","0","0","469216"
"Navy Captain Landy","c2109","c2109","Navy Captain Landy","4","0","0","298008"
"Nemunas","c3061","c3061","Nemunas","4","0","0","225496"
"New Kid Adin","c2165","c2165","New Kid Adin","4","0","0","215656"
"New Moon Luna","c2066","c2066","New Moon Luna","4","0","0","269888"
"Notos","c2181","c2181","Notos","4","0","0","520334"
"Ocean Breeze Luluca","c5082","c5082","Ocean Breeze Luluca","4","0","0","310398"
"Operator Sigret","c2072","c2072","Operator Sigret","4","0","0","394628"
"Orte","c3133","c3133","Orte","4","0","0","191944"
"Otillie","c3045","c3045","Otillie","4","0","0","262408"
"Pavel","c1080","c1080","Pavel","4","0","0","239876"
"Peacemaker Furious","c2087","c2087","Peacemaker Furious","4","0","0","199368"
"Pearlhorizon","c3073","c3073","Pearlhorizon","4","0","0","167760"
"Peira","c1125","c1125","Peira","4","0","0","564144"
"Penelope","c3125","c3125","Penelope","4","0","0","258406"
"Perfumer Byblis","c5154","c5154","Perfumer Byblis","4","0","0","423552"
"Pernilla","c3165","c3165","Pernilla","4","0","0","135866"
"Pirate Captain Flan","c2110","c2110","Pirate Captain Flan","4","0","0","490744"
"Politis","c1112","c1112","Politis","4","0","0","327344"
"Purrgis","c1035","c1035","Purrgis","4","0","0","221832"
"Pyllis","c3005","c3005","Pyllis","4","0","0","172784"
"Ragnvald","c3164","c3164","Ragnvald","4","0","0","163540"
"Ram","c1115","c1115","Ram","4","0","0","168400"
"Ran","c1118","c1118","Ran","4","0","0","388790"
"Ras","c1001","c1001","Ras","4","0","0","200006"
"Ravi","c1019","c1019","Ravi","4","0","0","416842"
"Ray","c1090","c1090","Ray","4","0","0","179848"
"Rem","c1114","c1114","Rem","4","0","0","237688"
"Remnant Violet","c2074","c2074","Remnant Violet","4","0","0","228442"
"Requiem Roana","c2102","c2102","Requiem Roana","4","0","0","361178"
"Requiemroar","c3075","c3075","Requiemroar","4","0","0","225574"
"Researcher Carrot","c4051","c4051","Researcher Carrot","4","0","0","408790"
"Revna","c3160","c3160","Revna","4","0","0","153682"
"Rhianna and Luciella","c2185","c2185","Rhianna and Luciella","4","0","0","162754"
"Righteous Thief Roozid","c4013","c4013","Righteous Thief Roozid","4","0","0","245474"
"Rikoris","c3034","c3034","Rikoris","4","0","0","141392"
"Rima","c3062","c3062","Rima","4","0","0","208152"
"Rimuru","c1121","c1121","Rimuru","4","0","0","211726"
"Rin","c1054","c1054","Rin","4","0","0","302960"
"Rinak","c1168","c1168","Rinak","4","0","0","456886"
"Riza Hawkeye","c1136","c1136","Riza Hawkeye","4","0","0","136330"
"Roaming Warrior Leo","c2029","c2029","Roaming Warrior Leo","4","0","0","321290"
"Roana","c1102","c1102","Roana","4","0","0","427412"
"Robin","c1169","c1169","Robin","4","0","0","232870"
"Romann","c1043","c1043","Romann","4","0","0","205630"
"Roozid","c3013","c3013","Roozid","4","0","0","168738"
"Rose","c1003","c1003","Rose","4","0","0","327292"
"Roy Mustang","c1135","c1135","Roy Mustang","4","0","0","154552"
"Ruele of Light","c1022","c1022","Ruele of Light","4","0","0","300210"
"Ruiza","c1180","c1180","Ruiza","4","0","0","248418"
"Sage Baal & Sezan","c2015","c2015","Sage Baal & Sezan","4","0","0","317712"
"Salome","c2184","c2184","Salome","4","0","0","298918"
"Saria","c1177","c1177","Saria","4","0","0","519206"
"Savior Adin","c4144","c4144","Savior Adin","4","0","0","529154"
"Schniel","c1060","c1060","Schniel","4","0","0","313242"
"School Nurse Yulha","c2131","c2131","School Nurse Yulha","4","0","0","372560"
"Schuri","c1020","c1020","Schuri","4","0","0","180622"
"Sea Phantom Politis","c2112","c2112","Sea Phantom Politis","4","0","0","264096"
"Sealed Eye Surin","c6065","c6065","Sealed Eye Surin","4","0","0","170172"
"Seaside Bellona","c5071","c5071","Seaside Bellona","4","0","0","399080"
"Senya","c1106","c1106","Senya","4","0","0","311798"
"Serene Purity Adin","c4142","c4142","Serene Purity Adin","4","0","0","298518"
"Serila","c1040","c1040","Serila","4","0","0","292756"
"Setsuka","c1176","c1176","Setsuka","4","0","0","282690"
"Sez","c1038","c1038","Sez","4","0","0","193492"
"Shadow Knight Pyllis","c4005","c4005","Shadow Knight Pyllis","4","0","0","528102"
"Shadow Rose","c2003","c2003","Shadow Rose","4","0","0","303756"
"Shalltear","c1157","c1157","Shalltear","4","0","0","212682"
"Sharun","c1132","c1132","Sharun","4","0","0","385178"
"Shepherd Jena","c4052","c4052","Shepherd Jena","4","0","0","166888"
"Shepherd of the Dark Diene","c2076","c2076","Shepherd of the Dark Diene","4","0","0","251596"
"Shooting Star Achates","c2017","c2017","Shooting Star Achates","4","0","0","345448"
"Shuna","c1123","c1123","Shuna","4","0","0","223150"
"Sigret","c1072","c1072","Sigret","4","0","0","203218"
"Silk","c1004","c1004","Silk","4","0","0","251726"
"Silver Blade Aramintha","c2048","c2048","Silver Blade Aramintha","4","0","0","194958"
"Silvertide Christy","c4123","c4123","Silvertide Christy","4","0","0","184686"
"Sinful Angelica","c2062","c2062","Sinful Angelica","4","0","0","298358"
"Sol","c1092","c1092","Sol","4","0","0","294426"
"Solitaria of the Snow","c2111","c2111","Solitaria of the Snow","4","0","0","374616"
"Sonia","c3104","c3104","Sonia","4","0","0","168988"
"Specimen Sez","c2038","c2038","Specimen Sez","4","0","0","412660"
"Specter Tenebria","c2050","c2050","Specter Tenebria","4","0","0","245970"
"Spirit Eye Celine","c2103","c2103","Spirit Eye Celine","4","0","0","271714"
"Stark","c1174","c1174","Stark","4","0","0","390636"
"Straze","c1034","c1034","Straze","4","0","0","306698"
"Successor Taeyou","c2127","c2127","Successor Taeyou","4","0","0","228358"
"Summer Break Charlotte","c5009","c5009","Summer Break Charlotte","4","0","0","229274"
"Summer's Disciple Alexa","c4012","c4012","Summer's Disciple Alexa","4","0","0","146042"
"Summertime Iseria","c5024","c5024","Summertime Iseria","4","0","0","415402"
"Surin","c1065","c1065","Surin","4","0","0","361682"
"Suthan","c3155","c3155","Suthan","4","0","0","170042"
"Sven","c3015","c3015","Sven","4","0","0","238142"
"Swift Flagbearer Sigret","c5072","c5072","Swift Flagbearer Sigret","4","0","0","364494"
"Sylvan Sage Vivian","c2088","c2088","Sylvan Sage Vivian","4","0","0","429966"
"Tactical Archetype Coli","c5033","c5033","Tactical Archetype Coli","4","0","0","326762"
"Taeyou","c1127","c1127","Taeyou","4","0","0","242492"
"Talaz","c3152","c3152","Talaz","4","0","0","169980"
"Talia","c3154","c3154","Talia","4","0","0","135734"
"Tamarinne","c1067","c1067","Tamarinne","4","0","0","270178"
"Taranor Guard","c3032","c3032","Taranor Guard","4","0","0","168628"
"Taranor Royal Guard","c3002","c3002","Taranor Royal Guard","4","0","0","180720"
"Tempest Surin","c2065","c2065","Tempest Surin","4","0","0","253202"
"Tenebria","c1050","c1050","Tenebria","4","0","0","198226"
"Tidal Rift Elvira","c2148","c2148","Tidal Rift Elvira","4","0","0","332294"
"Tieria","c3021","c3021","Tieria","4","0","0","261856"
"Top Model Luluca","c2082","c2082","Top Model Luluca","4","0","0","402022"
"Tori","c1171","c1171","Tori","4","0","0","211230"
"Troublemaker Crozet","c2036","c2036","Troublemaker Crozet","4","0","0","219770"
"Twisted Eidolon Kayron","c2023","c2023","Twisted Eidolon Kayron","4","0","0","194142"
"Tywin","c1042","c1042","Tywin","4","0","0","262114"
"Unbound Knight Arowell","c4004","c4004","Unbound Knight Arowell","4","0","0","315796"
"Urban Shadow Choux","c2101","c2101","Urban Shadow Choux","4","0","0","114206"
"Verdant Adin","c4143","c4143","Verdant Adin","4","0","0","192066"
"Veronica","c1150","c1150","Veronica","4","0","0","183414"
"Victorika","c1166","c1166","Victorika","4","0","0","292180"
"Vigilante Leader Glenn","c4103","c4103","Vigilante Leader Glenn","4","0","0","219062"
"Vildred","c1007","c1007","Vildred","4","0","0","215534"
"Violet","c1074","c1074","Violet","4","0","0","212426"
"Vivian","c1088","c1088","Vivian","4","0","0","336164"
"Wanda","c3065","c3065","Wanda","4","0","0","186922"
"Wanderer Silk","c2004","c2004","Wanderer Silk","4","0","0","239236"
"Wandering Prince Cidd","c6014","c6014","Wandering Prince Cidd","4","0","0","295666"
"Watcher Schuri","c2020","c2020","Watcher Schuri","4","0","0","194454"
"Westwind Executioner Schuri","c6020","c6020","Westwind Executioner Schuri","4","0","0","236774"
"Wild Angara","m0171","m0171","Wild Angara","0","4","0",""
"Witch of the Mere Tenebria","c6050","c6050","Witch of the Mere Tenebria","4","0","0","399930"
"Wretched Rose","c6003","c6003","Wretched Rose","4","0","0","341024"
"Yoonryoung","c3134","c3134","Yoonryoung","4","0","0","204924"
"Young Senya","c1162","c1162","Young Senya","4","0","0","311980"
"Yufine","c1016","c1016","Yufine","4","0","0","303888"
"Yulha","c1131","c1131","Yulha","4","0","0","259400"
"Yuna","c1030","c1030","Yuna","4","0","0","285694"
"Zahhak","c1119","c1119","Zahhak","4","0","0","311552"
"Zealot Carmainerose","c4071","c4071","Zealot Carmainerose","4","0","0","265572"
"Zeno","c1083","c1083","Zeno","4","0","0","289934"
"Zerato","c1010","c1010","Zerato","4","0","0","339550"
"Zio","c1133","c1133","Zio","4","0","0","318956"
